weighted_sum,V,V_ideal,Error
0,147.23116159439087,0.0,0.0
1,147.31653034687042,3.5126417875289917,3.4272730350494385
2,147.4141776561737,7.025283575057983,6.8422675132751465
3,147.5105583667755,10.537925362586975,10.258528590202332
4,147.60872721672058,14.050567150115967,13.673001527786255
5,147.7011740207672,17.56320893764496,17.093196511268616
6,147.8076130151749,21.07585072517395,20.499399304389925
7,147.88898825645447,24.588492512702942,23.930665850639343
8,147.98496663570404,28.101134300231934,27.347329258918762
9,148.06446433067322,31.613776087760925,30.780473351478577
10,148.16057682037354,35.12641787528992,34.19700264930725
11,148.2694149017334,38.63905966281891,37.60080635547638
12,148.37101101875305,42.1517014503479,41.01185202598572
13,148.44587445259094,45.66434323787689,44.44963037967682
14,148.55597913265228,49.176985025405884,47.85216748714447
15,148.60200881958008,52.689626812934875,51.31877958774567
16,148.70713651180267,56.20226860046387,54.72629368305206
1,147.31936156749725,3.5126417875289917,3.4244418144226074
2,147.42359519004822,7.025283575057983,6.832849979400635
3,147.51161634922028,10.537925362586975,10.257470607757568
4,147.61415123939514,14.050567150115967,13.667577505111694
5,147.69595861434937,17.56320893764496,17.098411917686462
6,147.8073000907898,21.07585072517395,20.499712228775024
7,147.889643907547,24.588492512702942,23.930010199546814
8,147.9850560426712,28.101134300231934,27.3472398519516
9,148.06289970874786,31.613776087760925,30.78203797340393
10,148.16607534885406,35.12641787528992,34.19150412082672
11,148.26937019824982,38.63905966281891,37.60085105895996
12,148.36427569389343,42.1517014503479,41.01858735084534
13,148.4394669532776,45.66434323787689,44.45603787899017
14,148.56085181236267,49.176985025405884,47.84729480743408
15,148.61488342285156,52.689626812934875,51.30590498447418
16,148.70068430900574,56.20226860046387,54.732745885849
17,148.8330513238907,59.71491038799286,58.11302065849304
2,147.42392301559448,7.025283575057983,6.83252215385437
3,147.51216769218445,10.537925362586975,10.256919264793396
4,147.61336147785187,14.050567150115967,13.668367266654968
5,147.6965844631195,17.56320893764496,17.09778606891632
6,147.80867099761963,21.07585072517395,20.49834132194519
7,147.8900909423828,24.588492512702942,23.929563164711
8,147.9758620262146,28.101134300231934,27.356433868408203
9,148.07942509651184,31.613776087760925,30.765512585639954
10,148.15832674503326,35.12641787528992,34.19925272464752
11,148.26911687850952,38.63905966281891,37.601104378700256
12,148.3657956123352,42.1517014503479,41.017067432403564
13,148.45523238182068,45.66434323787689,44.44027245044708
14,148.53692054748535,49.176985025405884,47.8712260723114
15,148.61787855625153,52.689626812934875,51.30290985107422
16,148.69987964630127,56.20226860046387,54.73355054855347
17,148.8087922334671,59.71491038799286,58.137279748916626
18,148.89685809612274,63.22755217552185,61.56185567378998
3,147.50614762306213,10.537925362586975,10.26293933391571
4,147.6179212331772,14.050567150115967,13.663807511329622
5,147.69768714904785,17.56320893764496,17.096683382987976
6,147.81583845615387,21.07585072517395,20.49117386341095
7,147.89064228534698,24.588492512702942,23.929011821746826
8,147.98568189144137,28.101134300231934,27.34661400318143
9,148.0780988931656,31.613776087760925,30.766838788986206
10,148.17282557487488,35.12641787528992,34.18475389480591
11,148.2694149017334,38.63905966281891,37.60080635547638
12,148.3800858259201,42.1517014503479,41.002777218818665
13,148.4416425228119,45.66434323787689,44.45386230945587
14,148.51373434066772,49.176985025405884,47.89441227912903
15,148.61366152763367,52.689626812934875,51.30712687969208
16,148.69536459445953,56.20226860046387,54.7380656003952
17,148.84436130523682,59.71491038799286,58.10171067714691
18,148.90027046203613,63.22755217552185,61.55844330787659
19,148.98106455802915,66.74019396305084,64.99029099941257
4,147.61008322238922,14.050567150115967,13.671645522117615
5,147.6985216140747,17.56320893764496,17.09584891796112
6,147.80846238136292,21.07585072517395,20.498549938201904
7,147.89137244224548,24.588492512702942,23.928281664848328
8,147.9860246181488,28.101134300231934,27.346271276474
9,148.06786179542542,31.613776087760925,30.77707588672638
10,148.17291498184204,35.12641787528992,34.184664487838745
11,148.26783537864685,38.63905966281891,37.60238587856293
12,148.3708918094635,42.1517014503479,41.01197123527527
13,148.4449803829193,45.66434323787689,44.45052444934845
14,148.53769540786743,49.176985025405884,47.87045121192932
15,148.62188696861267,52.689626812934875,51.298901438713074
16,148.72583746910095,56.20226860046387,54.707592725753784
17,148.82953464984894,59.71491038799286,58.11653733253479
18,148.9066630601883,63.22755217552185,61.552050709724426
19,148.98473024368286,66.74019396305084,64.98662531375885
20,149.08546209335327,70.25283575057983,68.39853525161743
5,147.6989388465881,17.56320893764496,17.09543168544772
6,147.80791103839874,21.07585072517395,20.499101281166077
7,147.89189398288727,24.588492512702942,23.927760124206543
8,147.9824185371399,28.101134300231934,27.34987735748291
9,148.07194471359253,31.613776087760925,30.772992968559265
10,148.1681764125824,35.12641787528992,34.18940305709839
11,148.26242625713348,38.63905966281891,37.607795000076294
12,148.36938679218292,42.1517014503479,41.01347625255585
13,148.44746887683868,45.66434323787689,44.44803595542908
14,148.5280990600586,49.176985025405884,47.88004755973816
15,148.62170815467834,52.689626812934875,51.2990802526474
16,148.71205389499664,56.20226860046387,54.72137629985809
17,148.79685640335083,59.71491038799286,58.1492155790329
18,148.89828860759735,63.22755217552185,61.56042516231537
19,148.98502826690674,66.74019396305084,64.98632729053497
20,149.0702927112579,70.25283575057983,68.4137046337128
21,149.15065467357638,73.76547753810883,71.84598445892331
6,147.80806005001068,21.07585072517395,20.498952269554138
7,147.88298308849335,24.588492512702942,23.936671018600464
8,147.98255264759064,28.101134300231934,27.349743247032166
9,148.07093143463135,31.613776087760925,30.774006247520447
10,148.16515147686005,35.12641787528992,34.19242799282074
11,148.26367795467377,38.63905966281891,37.60654330253601
12,148.37059378623962,42.1517014503479,41.012269258499146
13,148.44974875450134,45.66434323787689,44.44575607776642
14,148.5276222229004,49.176985025405884,47.88052439689636
15,148.63896369934082,52.689626812934875,51.281824707984924
16,148.69822561740875,56.20226860046387,54.735204577445984
17,148.82397651672363,59.71491038799286,58.122095465660095
18,148.89216423034668,63.22755217552185,61.56654953956604
19,148.9769071340561,66.74019396305084,64.99444842338562
20,149.07000958919525,70.25283575057983,68.41398775577545
21,149.1847783327103,73.76547753810883,71.8118607997894
22,149.25035834312442,77.27811932563782,75.25892257690427
7,147.88325130939484,24.588492512702942,23.936402797698975
8,147.98307418823242,28.101134300231934,27.34922170639038
9,148.07099103927612,31.613776087760925,30.77394664287567
10,148.17313849925995,35.12641787528992,34.18444097042084
11,148.26403558254242,38.63905966281891,37.60618567466736
12,148.3701318502426,42.1517014503479,41.01273119449618
13,148.44948053359985,45.66434323787689,44.44602429866791
14,148.527592420578,49.176985025405884,47.88055419921875
15,148.62847328186035,52.689626812934875,51.29231512546539
16,148.70773255825043,56.20226860046387,54.72569763660431
17,148.81503582000732,59.71491038799286,58.131036162376404
18,148.8998383283615,63.22755217552185,61.55887544155121
19,148.9816457033157,66.74019396305084,64.989709854126
20,149.07687902450562,70.25283575057983,68.40711832046509
21,149.18905496597293,73.76547753810883,71.80758416652677
22,149.2349356412888,77.27811932563782,75.27434527873987
23,149.32249486446383,80.79076111316681,78.69942784309384
8,147.98332750797272,28.101134300231934,27.348968386650085
9,148.0710208415985,31.613776087760925,30.773916840553284
10,148.16536009311676,35.12641787528992,34.192219376564026
11,148.26402068138125,38.63905966281891,37.606200575828524
12,148.37190508842468,42.1517014503479,41.01095795631409
13,148.45065772533417,45.66434323787689,44.444847106933594
14,148.527592420578,49.176985025405884,47.88055419921875
15,148.6402153968811,52.689626812934875,51.28057301044464
16,148.7192064523697,56.20226860046387,54.714223742485046
17,148.82861077785492,59.71491038799286,58.11746120452881
18,148.93215894699097,63.22755217552185,61.52655482292175
19,148.98565411567688,66.74019396305084,64.98570144176483
20,149.064838886261,70.25283575057983,68.41915845870972
21,149.1581499576569,73.76547753810883,71.8384891748428
22,149.250864982605,77.27811932563782,75.25841593742368
23,149.32681620121005,80.79076111316681,78.69510650634763
24,149.41154420375827,84.3034029006958,82.1230202913284
9,148.07112514972687,31.613776087760925,30.773812532424927
10,148.165762424469,35.12641787528992,34.19181704521179
11,148.25865626335144,38.63905966281891,37.61156499385834
12,148.37555587291718,42.1517014503479,41.007307171821594
13,148.45097064971924,45.66434323787689,44.44453418254852
14,148.52839708328247,49.176985025405884,47.87974953651428
15,148.6392468214035,52.689626812934875,51.28154158592224
16,148.7226039171219,56.20226860046387,54.71082627773285
17,148.7979143857956,59.71491038799286,58.148157596588135
18,148.9219069480896,63.22755217552185,61.53680682182312
19,148.9834040403366,66.74019396305084,64.9879515171051
20,149.06339347362518,70.25283575057983,68.42060387134552
21,149.1431146860123,73.76547753810883,71.8535244464874
22,149.25716817379,77.27811932563782,75.25211274623868
23,149.33338761329654,80.79076111316681,78.68853509426114
24,149.41938221454623,84.3034029006958,82.11518228054044
25,149.51044321060184,87.81604468822479,85.53676307201383
10,148.17745983600616,35.12641787528992,34.18011963367462
11,148.2592523097992,38.63905966281891,37.61096894741058
