concat,weighted_sum,V
0 6 1,7,193.3395713567734
0 6 2,8,194.68206167221075
0 6 3,9,196.0671097040177
0 6 4,10,197.4990367889405
0 6 5,11,198.9612728357316
0 6 6,12,200.468733906746
0 6 7,13,202.0443975925446
0 6 8,14,203.60843837261208
0 6 9,15,205.2235305309296
0 6 10,16,206.88237249851232
0 6 11,17,208.58284831047064
0 6 12,18,210.30491590499884
0 6 13,19,212.06367015838632
0 6 14,20,213.8538063
0 6 15,21,215.69687128067025
0 6 16,22,217.57134795188912
0 7 0,7,193.29389929771423
0 7 1,8,194.6977674961091
0 7 2,9,196.0737854242325
0 7 3,10,197.4970400333405
0 7 4,11,198.97989928722387
0 7 5,12,200.47558844089517
0 7 6,13,202.03357934951788
0 7 7,14,203.62059772014624
0 7 8,15,205.23075759410864
0 7 9,16,206.88956975936892
0 7 10,17,208.5918635129929
0 7 11,18,210.29379963874825
0 7 12,19,212.06955611705789
0 7 13,20,213.84839713573464
0 7 14,21,215.7171219587327
0 7 15,22,217.5706476
0 7 16,23,219.47623789310464
0 8 0,8,194.65881586074835
0 8 1,9,196.09017670154577
0 8 2,10,197.4951475858689
0 8 3,11,198.9948451519013
0 8 4,12,200.4878818988801
0 8 5,13,202.050805091858
0 8 6,14,203.6315649747849
0 8 7,15,205.20596206188208
0 8 8,16,206.89536631107336
0 8 9,17,208.595097064972
0 8 10,18,210.30266582965857
0 8 11,19,212.06980943679815
0 8 12,20,213.8922512531281
0 8 13,21,215.70841968059548
0 8 14,22,217.5742983818055
0 8 15,23,219.4900959730149
0 8 16,24,221.42963111400613
0 9 0,9,196.05101644992837
0 9 1,10,197.50198721885687
0 9 2,11,198.9752352237702
0 9 3,12,200.4781961441041
0 9 4,13,202.03293859958652
0 9 5,14,203.6429941654206
0 9 6,15,205.22411167621615
0 9 7,16,206.89012110233315
0 9 8,17,208.5957676172257
0 9 9,18,210.3275209665299
0 9 10,19,212.0819091796876
0 9 11,20,213.867485523224
0 9 12,21,215.72913229465493
0 9 13,22,217.59332716465005
0 9 14,23,219.49213743209847
0 9 15,24,221.4398682117463
0 9 16,25,223.4409302473069
0 10 0,10,197.4575669
0 10 1,11,198.94577562809
0 10 2,12,200.481340289116
0 10 3,13,202.04648375511172
